time,latitude,longitude,magnitude,depth,source
2012-2-14 00:19:08,41.152,-123.784,2.8,32,PDE-W
2012-2-14 01:34:39,40.13,24.09,5.2,24,PDE-W
2012-2-14 02:15:38,-18.182,-69.682,4.8,120,PDE-W
2012-2-14 03:27:51,36.193,141.402,5.5,30,PDE-W
2012-2-14 03:30:01,36.581,141.365,4.9,52,PDE-W
2012-2-14 03:48:23,13.628,-91.222,4.2,47,PDE-W
2012-2-14 04:03:59,0.599,-25.357,5,10,PDE-W
2012-2-14 04:12:23,-49.723,-116.529,5.1,11,PDE-W
2012-2-14 04:13:54,-35.738,178.325,4.3,199,PDE-W
2012-2-14 04:42:20,-12.411,-76.938,4.8,42,PDE-W
2012-2-14 05:58:02,-32.009,-70.034,4.5,103,PDE-W
2012-2-14 06:14:42,18.128,-65.028,2.5,4,PDE-W
2012-2-14 06:22:01,36.214,141.386,5.8,28,PDE-W
2012-2-14 06:52:36,19.274,-96.092,4.4,16,PDE-W
2012-2-14 07:00:05,48.66,-114.68,3.3,12,PDE-W
2012-2-14 07:06:08,-9.609,117.541,4.3,57,PDE-W
2012-2-14 07:33:14,-49.705,-116.214,4.6,8,PDE-W
2012-2-14 08:19:27,-34.948,-71.684,4.5,52,PDE-W
2012-2-14 08:19:55,-10.39,161.102,6.4,51,PDE-W
2012-2-14 10:09:29,32.105,-115.201,4.9,4,PDE-W
2012-2-14 10:45:04,32.158,-115.22,3.1,7,PDE-W
2012-2-14 10:48:23,39.207,144.499,4.9,44,PDE-W
2012-2-14 11:17:58,60.044,-153.214,2.7,123,PDE-W
2012-2-14 11:37:43,17.89,-95.05,4,110,PDE-W
2012-2-14 12:08:15,40.18,24.07,3.7,10,PDE-W
2012-2-14 12:19:13,-29.725,-177.157,4.6,35,PDE-W
2012-2-14 12:27:50,-14.678,167.421,4.6,183,PDE-W
2012-2-14 13:05:29,33.242,-116.252,3,5,PDE-W
2012-2-14 13:21:45,37.771,20.898,4.7,16,PDE-W
2012-2-14 14:08:41,-18.257,-69.408,4.6,126,PDE-W
2012-2-14 14:20:19,51.906,178.396,4.8,127,PDE-W
2012-2-14 14:56:11,40.354,-124.763,2.9,21,PDE-W
2012-2-14 15:40:01,10.09,123.451,4.7,10,PDE-W
2012-2-14 16:13:32,32.165,-115.2,3.1,7,PDE-W
2012-2-14 16:46:09,9.273,-83.979,4.5,22,PDE-W
2012-2-14 17:38:53,-21.281,169.093,4.8,10,PDE-W
2012-2-14 18:07:56,-18.038,167.153,5,35,PDE-W
2012-2-14 18:24:26,26.314,143.653,4.7,10,PDE-W
2012-2-14 18:51:48,35.514,141.434,4.7,12,PDE-W
2012-2-14 18:52:23,-33.764,-178.544,4.1,35,PDE-W
2012-2-14 19:15:10,35.521,140.906,4.7,12,PDE-W
2012-2-14 19:23:47,54.172,-162.534,2.5,10,PDE-W
2012-2-14 19:29:10,58.875,-154.322,2.5,119,PDE-W
2012-2-14 19:29:29,-34,-178.656,4.5,66,PDE-W
2012-2-14 19:35:57,32.166,-115.23,3.6,8,PDE-W
2012-2-14 19:43:50,37.589,-118.456,2.8,10,PDE-W
2012-2-14 20:41:57,-0.928,126.753,4.5,20,PDE-W
2012-2-14 21:46:24,5.515,-82.501,4.7,10,PDE-W
2012-2-14 21:59:25,37.533,-118.919,2.9,9,PDE-W
2012-2-14 22:34:38,36.16,141.642,5.1,13,PDE-W
2012-2-14 22:47:12,59.909,-152.456,2.6,82,PDE-W
2012-2-14 22:54:35,48.989,-129.348,4.1,10,PDE-W
2012-2-14 22:55:24,36.227,141.939,4.2,29,PDE-W
2012-2-14 23:39:16,0.859,-29.228,5.3,10,PDE-W
2012-2-14 23:44:32,55.125,-159.599,3.6,6,PDE-W
